Date,Team1,Team1_ELO,Team2,Team2_ELO,Map,Name,Agent,Kills,Deaths,Assists
2025-07-25,"Movistar KOI
(KOI)",,FNATIC,2123,1 Ascent,Boaster,Omen,14,11,9
2025-07-25,"Movistar KOI
(KOI)",,FNATIC,2123,2 Haven,Boaster,Omen,19,13,10
2025-07-18,FNATIC,2117,Karmine Corp,1756,1 Bind,Boaster,Astra,7,13,7
2025-07-18,FNATIC,2117,Karmine Corp,1756,2 Lotus,Boaster,Omen,8,15,8
2025-07-18,FNATIC,2117,Karmine Corp,1756,3 Icebox,Boaster,Viper,16,18,6
2025-07-13,FNATIC,2153,Team Heretics,1974,1 Lotus,Boaster,Omen,10,6,11
2025-07-13,FNATIC,2153,Team Heretics,1974,2 Sunset,Boaster,Omen,9,5,5
2025-07-13,FNATIC,2153,Team Heretics,1974,3 Icebox,Boaster,Viper,12,19,9
2025-07-13,FNATIC,2153,Team Heretics,1974,4 Haven,Boaster,Astra,13,17,7
2025-07-13,FNATIC,2153,Team Heretics,1974,5 Ascent,Boaster,Omen,10,15,13
